Estacion;Porc_datos;pct_nulos;Celda_XY;Conteo_celda;Nombre_Est;Depto;Mpio;AH; Z_SZH;x;y
26240160;77;23;(8 - 7);11;La Coquera;Antioquia; Caucasia ; Magdalena Cauca ; Directos al Cauca entre Pto Valdivia y rÌo NechÌ ;4757577,562;2438217,991
26240170;70;31;(7 - 6);13;PLAYALTA ;Antioquia; Taraz· ; Magdalena Cauca ; rÌo Taraza rÌo Man ;4729919,538;2394413,76
26245020;4;96;(7 - 6);13;MARY LAND ;Antioquia; C·ceres ; Magdalena Cauca ; rÌo Taraza rÌo Man ;4733400,715;2387474,722
26245030;10;91;(7 - 6);13;TARAZA ;Antioquia; Taraz· ; Magdalena Cauca ; rÌo Taraza rÌo Man ;4735291,81;2396681,225
26245040;12;88;(8 - 7);11;JHB CAUCASIA ;Antioquia; Caucasia ; Magdalena Cauca ; Directos al Cauca entre Pto Valdivia y rÌo NechÌ ;4763452,82;2443234,105
26250010;0;100;(7 - 6);13;CACERES ;Antioquia; C·ceres ; Magdalena Cauca ; Directos al Cauca entre Pto Valdivia y rÌo NechÌ ;4741045,431;2396176,628
26250020;14;87;(8 - 7);11;Hda La Trinidad;Antioquia; C·ceres ; Magdalena Cauca ; Directos al Cauca entre Pto Valdivia y rÌo NechÌ ;4753740,322;2407641,73
26250030;97;3;(7 - 6);13;CACERES ;Antioquia; C·ceres ; Magdalena Cauca ; Directos al Cauca entre Pto Valdivia y rÌo NechÌ ;4741045,431;2396176,628
26250060;87;13;(7 - 6);13;PUERTO RAUDAL ;Antioquia; Valdivia ; Magdalena Cauca ; rÌo Taraza rÌo Man ;4743154,742;2373035,242
26250090;18;83;(8 - 7);11;PIAMONTE ;Antioquia; C·ceres ; Magdalena Cauca ; Directos al Cauca entre Pto Valdivia y rÌo NechÌ ;4757474,773;2418681,199
26250100;2;99;(7 - 7);8;Hda Santa Cruz;Antioquia; C·ceres ; Magdalena Cauca ; Directos al Cauca entre Pto Valdivia y rÌo NechÌ ;4751796,409;2387376,883
26250110;72;29;(7 - 7);8;BARRO BLANCO ;Antioquia; Taraz· ; Magdalena Cauca ; Directos al Cauca entre Pto Valdivia y rÌo NechÌ ;4750193,579;2384522,36
26255020;86;14;(6 - 6);14;SANTA ISABEL ;Antioquia; Santa Rosa De Osos ; Magdalena Cauca ; rÌo Porce ;4717136,9;2307924,789
26255030;6;94;(4 - 6);19;Santa Isabel Valdivia Aut;Antioquia; Rionegro; Magdalena Cauca ; rÌo Nare ;4730074,124;2239285,456
26255040;70;30;(8 - 7);11;CACAOTERAS DEL DIQ ;Antioquia; Caucasia ; Magdalena Cauca ; Directos al Cauca entre Pto Valdivia y rÌo NechÌ ;4766777,581;2440750,248
27010160;6;94;(5 - 7);20;GOMEZ PLATA ;Antioquia; GÛmez Plata ; Magdalena Cauca ; rÌo Porce ;4754693,937;2296438,58
27010680;6;95;(6 - 7);10;MACARENA LA HACIENDA ;Antioquia; Remedios ; Magdalena Cauca ; rÌo Porce ;4795734,526;2337418,748
27010770;98;3;(4 - 6);19;CHUSCAL EL ;Antioquia; Heliconia ; Magdalena Cauca ; Directos rÌo Cauca entre rÌo San Juan y Pto Valdivia ;4700739,88;2241454,968
27010780;37;63;(5 - 6);14;BOQUERON ;Antioquia; MedellÌn ; Magdalena Cauca ; Directos rÌo Cauca entre rÌo San Juan y Pto Valdivia ;4703244,119;2260432,235
27010790;26;74;(4 - 6);19;Sena La Meseta;Antioquia; Caldas; Magdalena Cauca ; rÌo Porce ;4710449,383;2225367,291
27010800;96;5;(5 - 6);14;La Meseta San Pedro;Antioquia; Bello ; Magdalena Cauca ; rÌo Porce ;4711695,19;2265889,63
27010810;95;5;(4 - 6);19;SANTA HELENA ;Antioquia; MedellÌn ; Magdalena Cauca ; rÌo Porce ;4721597,637;2243404,959
27010820;99;2;(5 - 6);14;La Cuchilla;Antioquia; Girardota ; Magdalena Cauca ; rÌo Porce ;4728675,217;2262333,755
27010830;98;3;(5 - 6);14;SAN ISIDRO ;Antioquia; Entrerrios ; Magdalena Cauca ; rÌo Porce ;4721906,151;2283922,434
27010840;95;6;(5 - 7);20;SAN PABLO ;Antioquia; Santa Rosa De Osos ; Magdalena Cauca ; rÌo Porce ;4751701,421;2288069,102
27010850;97;4;(6 - 7);10;AMALFI ;Antioquia; Amalfi ; Magdalena Cauca ; rÌo Porce ;4770565,539;2321552,682
27010860;20;80;(5 - 7);20;Hacienda NormandÌa;Antioquia; YolombÛ ; Magdalena Cauca ; rÌo Porce ;4766107,37;2298842,521
27010870;97;4;(5 - 6);14;BELMIRA ;Antioquia; Belmira ; Magdalena Cauca ; rÌo Porce ;4705054,964;2289092,53
27010880;98;3;(5 - 6);14;MONTANITAS ;Antioquia; Santa Rosa De Osos ; Magdalena Cauca ; Alto NechÌ ;4735643,561;2299298,878
27010890;94;6;(6 - 7);10;CUEVA SANTA ;Antioquia; Amalfi ; Magdalena Cauca ; rÌo Porce ;4774885,2;2327443,502
27010900;98;2;(5 - 7);20;GOMEZ PLATA ;Antioquia; GÛmez Plata ; Magdalena Cauca ; rÌo Porce ;4754693,937;2296438,58
27010960;76;24;(6 - 7);10;Hacienda Monos;Antioquia; Amalfi ; Magdalena Cauca ; rÌo Porce ;4789908,14;2320704,87
27011100;68;33;(6 - 7);10;Las Brisas;Antioquia; Segovia ; Magdalena Cauca ; rÌo Porce ;4798892,868;2349435,761
27011110;59;41;(5 - 6);14;ASTILLEROS ;Antioquia; MedellÌn ; Magdalena Cauca ; rÌo Porce ;4704018,462;2250174,309
27011120;59;41;(5 - 6);14;La Iguan·;Antioquia; MedellÌn ; Magdalena Cauca ; rÌo Porce ;4706080,935;2256687,279
27011230;39;61;(5 - 7);20;SAN ANTONIO ;Antioquia; YolombÛ ; Magdalena Cauca ; rÌo Porce ;4762199,939;2290105,322
27011270;19;81;(4 - 6);19;LAURELES medellin;Antioquia; MedellÌn ; Magdalena Cauca ; rÌo Porce ;4713399,404;2248922,83
27015090;96;4;(5 - 6);14;TULIO OSPINA ;Antioquia; Bello ; Magdalena Cauca ; rÌo Porce ;4717623,432;2257007,411
27015110;88;13;(6 - 6);14;ARAGON ;Antioquia; Santa Rosa De Osos ; Magdalena Cauca ; rÌo Porce ;4717609,41;2307929,359
27015120;17;84;(5 - 6);14;PIEDRAS BLANCAS ;Antioquia; MedellÌn ; Magdalena Cauca ; rÌo Porce ;4723505,874;2254800,53
27015150;80;21;(5 - 6);14;Hacienda El Progreso;Antioquia; Don MatÌas ; Magdalena Cauca ; rÌo Porce ;4734961,459;2271056,75
27015160;6;95;(4 - 6);19;La Clara;Antioquia; Caldas; Magdalena Cauca ; rÌo Porce ;4712312,552;2229045,462
27015190;99;2;(5 - 7);20;GUAYABITO ;Antioquia; Santo Domingo ; Magdalena Cauca ; rÌo Porce ;4762705,361;2281207,708
27015200;21;79;(6 - 7);10;Hacienda NormandÌa;Antioquia; YolombÛ ; Magdalena Cauca ; rÌo Porce ;4766147,35;2308057,102
27015210;26;74;(5 - 6);14;El Vivero;Antioquia; Guarne ; Magdalena Cauca ; rÌo Porce ;4723497,53;2252957,154
27015260;71;29;(4 - 6);19;SALADA LA ;Antioquia; Caldas; Magdalena Cauca ; rÌo Porce ;4709571,543;2227033,81
27015270;2;98;(5 - 6);14;JARDIN BOTANICO ;Antioquia; MedellÌn ; Magdalena Cauca ; rÌo Porce ;4716497,334;2251175,171
27015330;95;5;(4 - 6);19;Aerop Olaya Herrera Aut;Antioquia; MedellÌn ; Magdalena Cauca ; rÌo Porce ;4713501,889;2246000,307
27020040;6;94;(6 - 6);14;ANGOSTURA ;Antioquia; Angostura ; Magdalena Cauca ; Alto NechÌ ;4742345,962;2319194,952
27020160;21;80;(7 - 7);8;TENCHE LA RISARALD ;Antioquia; AnorÌ ; Magdalena Cauca ; Alto NechÌ ;4775631,68;2370674,35
